token_id,token,kind,source,frequency,is_severe_outcome
0,[PAD],special,,0,False
1,[UNK],special,,0,False
2,[CLS],special,,0,False
3,[SEP],special,,0,False
4,[MASK],special,,0,False
5,AGE_30_34,background,,0,False
6,AGE_35_39,background,,0,False
7,AGE_40_44,background,,0,False
8,AGE_45_49,background,,0,False
9,AGE_50_54,background,,0,False
10,AGE_55_59,background,,0,False
11,ETH_hispanic,background,,0,False
12,ETH_nonhispanic,background,,0,False
13,INCOME_B01,background,,0,False
14,INCOME_B02,background,,0,False
15,INCOME_B03,background,,0,False
16,INCOME_B04,background,,0,False
17,INCOME_B05,background,,0,False
18,INCOME_B06,background,,0,False
19,INCOME_B07,background,,0,False
20,INCOME_B08,background,,0,False
21,INCOME_B09,background,,0,False
22,INCOME_B10,background,,0,False
23,INCOME_B11,background,,0,False
24,INCOME_B12,background,,0,False
25,INCOME_B13,background,,0,False
26,INCOME_B14,background,,0,False
27,INCOME_B15,background,,0,False
28,INCOME_B16,background,,0,False
29,INCOME_B17,background,,0,False
30,INCOME_B18,background,,0,False
31,INCOME_B19,background,,0,False
32,INCOME_B20,background,,0,False
33,INCOME_B21,background,,0,False
34,INCOME_B22,background,,0,False
35,INCOME_B23,background,,0,False
36,INCOME_B24,background,,0,False
37,INCOME_B25,background,,0,False
38,MARITAL_D,background,,0,False
39,MARITAL_M,background,,0,False
40,MARITAL_NA,background,,0,False
41,MARITAL_S,background,,0,False
42,MARITAL_W,background,,0,False
43,RACE_asian,background,,0,False
44,RACE_black,background,,0,False
45,RACE_hawaiian,background,,0,False
46,RACE_native,background,,0,False
47,RACE_other,background,,0,False
48,RACE_white,background,,0,False
49,SEX_F,background,,0,False
50,SEX_M,background,,0,False
51,Assessment of health and social care needs (procedure),event,procedures,1182590,False
52,Depression screening (procedure),event,procedures,985621,False
53,Influenza  split virus  trivalent  PF,event,immunizations,916201,False
54,Assessment of substance use (procedure),event,procedures,730271,False
55,Medication review due (situation),event,conditions,661551,False
56,Medication reconciliation (procedure),event,procedures,625747,False
57,Dental consultation and report (procedure),event,procedures,602017,False
58,Patient referral for dental care (procedure),event,procedures,599168,False
59,Assessment of anxiety (procedure),event,procedures,590480,False
